Ref_Date,GEO,COMMOD,Vector,Coordinate,Value
Jan-81,Canada,"Meat, fish and dairy products",v1574569,1.1,60.9
Feb-81,Canada,"Meat, fish and dairy products",v1574569,1.1,61.2
Mar-81,Canada,"Meat, fish and dairy products",v1574569,1.1,60.6
Apr-81,Canada,"Meat, fish and dairy products",v1574569,1.1,61.3
May-81,Canada,"Meat, fish and dairy products",v1574569,1.1,61.5
Jun-81,Canada,"Meat, fish and dairy products",v1574569,1.1,63
Jul-81,Canada,"Meat, fish and dairy products",v1574569,1.1,63.5
Aug-81,Canada,"Meat, fish and dairy products",v1574569,1.1,64.1
Sep-81,Canada,"Meat, fish and dairy products",v1574569,1.1,64.2
Oct-81,Canada,"Meat, fish and dairy products",v1574569,1.1,63.9
Nov-81,Canada,"Meat, fish and dairy products",v1574569,1.1,63.2
Dec-81,Canada,"Meat, fish and dairy products",v1574569,1.1,62.8
Jan-82,Canada,"Meat, fish and dairy products",v1574569,1.1,62.7
Feb-82,Canada,"Meat, fish and dairy products",v1574569,1.1,63.5
Mar-82,Canada,"Meat, fish and dairy products",v1574569,1.1,64.2
Apr-82,Canada,"Meat, fish and dairy products",v1574569,1.1,66
May-82,Canada,"Meat, fish and dairy products",v1574569,1.1,68.3
Jun-82,Canada,"Meat, fish and dairy products",v1574569,1.1,68.9
Jul-82,Canada,"Meat, fish and dairy products",v1574569,1.1,68.6
Aug-82,Canada,"Meat, fish and dairy products",v1574569,1.1,68.8
Sep-82,Canada,"Meat, fish and dairy products",v1574569,1.1,68.8
Oct-82,Canada,"Meat, fish and dairy products",v1574569,1.1,68
Nov-82,Canada,"Meat, fish and dairy products",v1574569,1.1,67.1
Dec-82,Canada,"Meat, fish and dairy products",v1574569,1.1,66.8
Jan-83,Canada,"Meat, fish and dairy products",v1574569,1.1,66.9
Feb-83,Canada,"Meat, fish and dairy products",v1574569,1.1,68
Mar-83,Canada,"Meat, fish and dairy products",v1574569,1.1,67.5
Apr-83,Canada,"Meat, fish and dairy products",v1574569,1.1,67.9
May-83,Canada,"Meat, fish and dairy products",v1574569,1.1,67.9
